Wafer name: Wafer5. V-shape transmons by Vladimir Aug 2020 
chip[#]	Type	JJ_wid_mask[um]	L_len_mask[um]	L_hig[um]	JJ_project_Area[um2]	Ljj_project_Area[um2]	proj_JJ_w1[um]	proj_JJ_w2[um]	proj_Len_big_JJ[um]
1	Stripline	0.15	2.0	0.2	0.0005	0.1411	0.0381	0.0138	0.7053
2	Circular	0.15	2.0	0.2	0.0005	0.1411	0.0381	0.0138	0.7053
3	Stripline	0.19	2.0	0.2	0.0042	0.1411	0.0781	0.0538	0.7053
4	Circular	0.19	2.0	0.2	0.0042	0.1411	0.0781	0.0538	0.7053
5	Stripline	0.23	2.0	0.2	0.0111	0.1411	0.1181	0.0938	0.7053
6	Circular	0.23	2.0	0.2	0.0111	0.1411	0.1181	0.0938	0.7053
7	Stripline	0.27	2.0	0.2	0.0212	0.1411	0.1581	0.1338	0.7053
8	Circular	0.27	2.0	0.2	0.0212	0.1411	0.1581	0.1338	0.7053
11	Stripline	0.15	3.0	0.2	0.0005	0.3411	0.0381	0.0138	1.7053
12	Circular	0.15	3.0	0.2	0.0005	0.3411	0.0381	0.0138	1.7053
13	Stripline	0.19	3.0	0.2	0.0042	0.3411	0.0781	0.0538	1.7053
14	Circular	0.19	3.0	0.2	0.0042	0.3411	0.0781	0.0538	1.7053
15	Stripline	0.23	3.0	0.2	0.0111	0.3411	0.1181	0.0938	1.7053
16	Circular	0.23	3.0	0.2	0.0111	0.3411	0.1181	0.0938	1.7053
17	Stripline	0.27	3.0	0.2	0.0212	0.3411	0.1581	0.1338	1.7053
18	Circular	0.27	3.0	0.2	0.0212	0.3411	0.1581	0.1338	1.7053
19	Stripline	0.15	4.0	0.2	0.0005	0.5411	0.0381	0.0138	2.7053
20	Circular	0.15	4.0	0.2	0.0005	0.5411	0.0381	0.0138	2.7053
21	Stripline	0.19	4.0	0.2	0.0042	0.5411	0.0781	0.0538	2.7053
22	Circular	0.19	4.0	0.2	0.0042	0.5411	0.0781	0.0538	2.7053
23	Stripline	0.23	4.0	0.2	0.0111	0.5411	0.1181	0.0938	2.7053
24	Circular	0.23	4.0	0.2	0.0111	0.5411	0.1181	0.0938	2.7053
25	Stripline	0.27	4.0	0.2	0.0212	0.5411	0.1581	0.1338	2.7053
26	Circular	0.27	4.0	0.2	0.0212	0.5411	0.1581	0.1338	2.7053
10	TestJunctions	None	None	0.2	None	None	None	None
9	Transmon	0.15	None	0.2	0.0005	None	0.0381	0.0138	None
27	Transmon	0.23	None	0.2	0.0111	None	0.1181	0.0938	None
28	Transmon	0.15	None	0.2	0.0005	None	0.0381	0.0138	None
29	Stripline_heartless	0.0	0.0	0.2	0.0152	-0.2589	-0.1119	-0.1362	-1.2947
30	Circular_heartless	0.0	0.0	0.2	0.0152	-0.2589	-0.1119	-0.1362	-1.2947
